0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
1.00000e-02	1.99717e-01	-4.99230e-03	1.99800e-02	
2.00000e-02	3.98537e-01	-1.99301e-02	3.99201e-02	
3.00000e-02	5.95966e-01	-4.47365e-02	5.98204e-02	
4.00000e-02	7.91518e-01	-7.93100e-02	7.96809e-02	
5.00000e-02	9.84710e-01	-1.23525e-01	9.95017e-02	
6.00000e-02	1.17507e+00	-1.77233e-01	1.19283e-01	
7.00000e-02	1.36213e+00	-2.40262e-01	1.39025e-01	
8.00000e-02	1.54545e+00	-3.12417e-01	1.58727e-01	
9.00000e-02	1.72456e+00	-3.93481e-01	1.78390e-01	
1.00000e-01	1.89906e+00	-4.83217e-01	1.98013e-01	
1.10000e-01	2.06851e+00	-5.81364e-01	2.17598e-01	
1.20000e-01	2.23252e+00	-6.87646e-01	2.37143e-01	
1.30000e-01	2.39069e+00	-8.01763e-01	2.56649e-01	
1.40000e-01	2.54266e+00	-9.23399e-01	2.76116e-01	
1.50000e-01	2.68806e+00	-1.05222e+00	2.95545e-01	
1.60000e-01	2.82657e+00	-1.18788e+00	3.14934e-01	
1.70000e-01	2.95786e+00	-1.33000e+00	3.34285e-01	
1.80000e-01	3.08164e+00	-1.47821e+00	3.53597e-01	
1.90000e-01	3.19763e+00	-1.63212e+00	3.72871e-01	
2.00000e-01	3.30556e+00	-1.79131e+00	3.92106e-01	
2.10000e-01	3.40520e+00	-1.95537e+00	4.11302e-01	
2.20000e-01	3.49633e+00	-2.12386e+00	4.30460e-01	
2.30000e-01	3.57877e+00	-2.29636e+00	4.49580e-01	
2.40000e-01	3.65233e+00	-2.47241e+00	4.68662e-01	
2.50000e-01	3.71687e+00	-2.65155e+00	4.87706e-01	
2.60000e-01	3.77227e+00	-2.83333e+00	5.06711e-01	
2.70000e-01	3.81842e+00	-3.01729e+00	5.25679e-01	
2.80000e-01	3.85524e+00	-3.20295e+00	5.44609e-01	
2.90000e-01	3.88269e+00	-3.38984e+00	5.63501e-01	
3.00000e-01	3.90072e+00	-3.57750e+00	5.82355e-01	
