time	 	(x, 		y, 		z	) 		 exact solution(x, 		y, 		z	)
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00		0.00000e+00	-0.00000e+00	0.00000e+00
5.00000e-02	9.84710e-01	-1.23525e-01	9.95017e-02		-9.71698e-01	-1.23525e-01	9.95017e-02
1.00000e-01	1.89906e+00	-4.83217e-01	1.98013e-01		-1.85439e+00	-4.83217e-01	1.98013e-01
1.50000e-01	2.68806e+00	-1.05222e+00	2.95545e-01		-2.59543e+00	-1.05222e+00	2.95545e-01
2.00000e-01	3.30556e+00	-1.79131e+00	3.92106e-01		-3.15192e+00	-1.79131e+00	3.92106e-01
2.50000e-01	3.71687e+00	-2.65155e+00	4.87706e-01		-3.49321e+00	-2.65155e+00	4.87706e-01
3.00000e-01	3.90072e+00	-3.57750e+00	5.82355e-01		-3.60252e+00	-3.57750e+00	5.82355e-01
3.50000e-01	3.85028e+00	-4.51077e+00	6.76062e-01		-3.47769e+00	-4.51077e+00	6.76062e-01
4.00000e-01	3.57330e+00	-5.39368e+00	7.68837e-01		-3.13108e+00	-5.39368e+00	7.68837e-01
4.50000e-01	3.09133e+00	-6.17278e+00	8.60688e-01		-2.58842e+00	-6.17278e+00	8.60688e-01
5.00000e-01	2.43816e+00	-6.80209e+00	9.51626e-01		-1.88708e+00	-6.80209e+00	9.51626e-01
5.50000e-01	1.65745e+00	-7.24579e+00	1.04166e+00		-1.07342e+00	-7.24579e+00	1.04166e+00
6.00000e-01	7.99857e-01	-7.48018e+00	1.13080e+00		-1.99842e-01	-7.48018e+00	1.13080e+00
6.50000e-01	-8.02229e-02	-7.49497e+00	1.21905e+00		6.78607e-01	-7.49497e+00	1.21905e+00
7.00000e-01	-9.28081e-01	-7.29359e+00	1.30642e+00		1.50767e+00	-7.29359e+00	1.30642e+00
7.50000e-01	-1.69208e+00	-6.89273e+00	1.39292e+00		2.23721e+00	-6.89273e+00	1.39292e+00
8.00000e-01	-2.32678e+00	-6.32107e+00	1.47856e+00		2.82422e+00	-6.32106e+00	1.47856e+00
8.50000e-01	-2.79560e+00	-5.61722e+00	1.56335e+00		3.23532e+00	-5.61722e+00	1.56335e+00
9.00000e-01	-3.07292e+00	-4.82720e+00	1.64730e+00		3.44866e+00	-4.82720e+00	1.64730e+00
9.50000e-01	-3.14544e+00	-4.00144e+00	1.73041e+00		3.45499e+00	-4.00144e+00	1.73041e+00
1.00000e+00	-3.01274e+00	-3.19154e+00	1.81269e+00		3.25803e+00	-3.19154e+00	1.81269e+00
1.05000e+00	-2.68707e+00	-2.44713e+00	1.89416e+00		2.87394e+00	-2.44713e+00	1.89416e+00
1.10000e+00	-2.19233e+00	-1.81281e+00	1.97481e+00		2.33011e+00	-1.81281e+00	1.97481e+00
1.15000e+00	-1.56236e+00	-1.32551e+00	2.05466e+00		1.66324e+00	-1.32551e+00	2.05466e+00
1.20000e+00	-8.38691e-01	-1.01236e+00	2.13372e+00		9.16870e-01	-1.01236e+00	2.13372e+00
1.25000e+00	-6.77926e-02	-8.89224e-01	2.21199e+00		1.38599e-01	-8.89224e-01	2.21199e+00
1.30000e+00	7.01870e-01	-9.59927e-01	2.28948e+00		-6.22958e-01	-9.59927e-01	2.28948e+00
1.35000e+00	1.42287e+00	-1.21627e+00	2.36621e+00		-1.32118e+00	-1.21627e+00	2.36621e+00
1.40000e+00	2.05171e+00	-1.63878e+00	2.44216e+00		-1.91426e+00	-1.63878e+00	2.44216e+00
1.45000e+00	2.55145e+00	-2.19811e+00	2.51736e+00		-2.36773e+00	-2.19811e+00	2.51736e+00
1.50000e+00	2.89383e+00	-2.85707e+00	2.59182e+00		-2.65639e+00	-2.85707e+00	2.59182e+00
1.55000e+00	3.06086e+00	-3.57305e+00	2.66553e+00		-2.76570e+00	-3.57305e+00	2.66553e+00
1.60000e+00	3.04572e+00	-4.30079e+00	2.73851e+00		-2.69247e+00	-4.30079e+00	2.73851e+00
1.65000e+00	2.85294e+00	-4.99517e+00	2.81076e+00		-2.44484e+00	-4.99518e+00	2.81076e+00
1.70000e+00	2.49792e+00	-5.61406e+00	2.88230e+00		-2.04153e+00	-5.61406e+00	2.88230e+00
1.75000e+00	2.00578e+00	-6.12078e+00	2.95312e+00		-1.51048e+00	-6.12078e+00	2.95312e+00
1.80000e+00	1.40956e+00	-6.48631e+00	3.02324e+00		-8.86974e-01	-6.48631e+00	3.02324e+00
1.85000e+00	7.48085e-01	-6.69092e+00	3.09266e+00		-2.11274e-01	-6.69092e+00	3.09266e+00
1.90000e+00	6.34373e-02	-6.72517e+00	3.16139e+00		4.73922e-01	-6.72517e+00	3.16139e+00
1.95000e+00	-6.01715e-01	-6.59033e+00	3.22943e+00		1.12618e+00	-6.59033e+00	3.22943e+00
2.00000e+00	-1.20675e+00	-6.29806e+00	3.29680e+00		1.70593e+00	-6.29806e+00	3.29680e+00
2.05000e+00	-1.71555e+00	-5.86949e+00	3.36350e+00		2.17888e+00	-5.86949e+00	3.36350e+00
2.10000e+00	-2.09865e+00	-5.33375e+00	3.42953e+00		2.51797e+00	-5.33375e+00	3.42953e+00
2.15000e+00	-2.33493e+00	-4.72599e+00	3.49491e+00		2.70495e+00	-4.72599e+00	3.49491e+00
2.20000e+00	-2.41272e+00	-4.08511e+00	3.55964e+00		2.73129e+00	-4.08511e+00	3.55964e+00
2.25000e+00	-2.33036e+00	-3.45128e+00	3.62372e+00		2.59857e+00	-3.45128e+00	3.62372e+00
